"date","book_id","quantity","sales"
2020-01-02,"Z8O4P8",1,13.25
2020-01-02,"D0H4C0",4,80.4
2020-01-03,"Q2H2B2",1,13.73
2020-01-03,"Y3A3P3",1,3.62
2020-01-03,"F5K5I5",4,25.48
2020-01-03,"V2O8K2",3,10.17
2020-01-03,"E8H3A8",4,23.04
2020-01-03,"K0K4D0",4,25.28
2020-01-03,"A7O4Q7",1,7.39
2020-01-03,"Z2E2L2",2,27.38
2020-01-03,"K4O1Q4",4,25.84
2020-01-03,"T0Q7F0",1,3.42
2020-01-03,"I1E3Y1",4,48.92
2020-01-03,"C6U2E6",3,27.06
2020-01-03,"Z7Q9K7",4,51.72
2020-01-03,"M2T9B2",4,37.04
2020-01-03,"Y3X9G3",1,7.41
2020-01-03,"Y6V6H6",3,22.77
2020-01-03,"I9C5U9",4,41.88
2020-01-03,"Q5B9L5",3,29.55
2020-01-03,"H7D9H7",4,35.88
2020-01-03,"P7F1S7",3,30.42
2020-01-03,"H1N2P1",4,66.16
2020-01-03,"M5Q1J5",2,27.96
2020-01-03,"S0C8S0",2,11.66
2020-01-03,"M6M3D6",2,28.26
2020-01-03,"T3Y2Z3",1,10.49
2020-01-03,"J1W2P1",2,15.3
2020-01-03,"J6M1C6",2,13.14
2020-01-03,"G0B4M0",4,33.6
2020-01-03,"K9W5U9",4,58.44
2020-01-03,"Q8K9R8",1,6.29
2020-01-03,"T3A0S3",3,31.89
2020-01-03,"G2K7M2",3,45.9
2020-01-03,"D2K9A2",2,29.74
2020-01-03,"O8I8L8",3,20.01
2020-01-03,"R2G4T2",3,10.47
2020-01-03,"X0R0Q0",3,39.69
2020-01-03,"J3O1Y3",2,12.42
2020-01-03,"O3N1G3",4,39.88
2020-01-03,"K5Q9J5",2,8.02
2020-01-03,"D9Z3P9",1,15.6
2020-01-03,"L5Q4I5",2,16.04
2020-01-03,"U7Q2F7",4,11.96
2020-01-03,"S5B2Z5",3,37.68
2020-01-03,"Q9T9Z9",3,29.34
2020-01-03,"P8A1M8",1,9.94
2020-01-03,"A9C7K9",1,13.57
2020-01-03,"F4G2V4",3,37.59
2020-01-03,"G6H3F6",2,14.84
2020-01-03,"N2T9G2",1,9.73
2020-01-03,"H4I3T4",4,21.28
2020-01-03,"Q3E7M3",1,10.76
2020-01-03,"M3Z5C3",1,6.81
2020-01-03,"N9L3L9",1,14.81
2020-01-03,"T0Q1S0",4,37.68
2020-01-03,"A0F2I0",3,40.53
2020-01-03,"K6H2B6",4,50.48
2020-01-03,"S9E3F9",4,75.72
2020-01-03,"F3O7R3",3,35.28
2020-01-03,"S4K8M4",1,15.75
2020-01-03,"R6V2H6",3,29.04
2020-01-03,"R4J8X4",4,67.52
2020-01-03,"U5X4N5",4,45.96
2020-01-03,"N4R0D4",3,42.93
2020-01-03,"H8C3U8",3,44.07
2020-01-03,"B9Y4X9",3,15.12
2020-01-03,"X0L6N0",2,25.86
2020-01-04,"F9F9V9",1,10.37
2020-01-04,"E2I3T2",3,33.96
2020-01-04,"Q2H2B2",1,13.73
2020-01-04,"I2Q3O2",3,49.8
2020-01-04,"Z4B1O4",2,24.04
2020-01-04,"X6N2L6",2,17.1
2020-01-04,"R2S2O2",4,50.96
2020-01-04,"H6N3G6",2,32.96
2020-01-04,"P2X7Q2",3,39.06
2020-01-04,"W7J9B7",1,11.87
2020-01-04,"R9W2M9",4,55.28
2020-01-04,"H0Y9S0",4,10.88
2020-01-04,"O4R4R4",1,13.61
2020-01-04,"I3T9X3",4,42.88
2020-01-04,"E8H3A8",3,17.28
2020-01-04,"F9C5V9",2,13.58
2020-01-04,"D8G9X8",1,14.72
2020-01-04,"V7L6N7",1,7.11
2020-01-04,"Z8O8E8",2,26.48
2020-01-04,"Z8E4I8",2,9.48
2020-01-04,"A7O4Q7",3,22.17
2020-01-04,"U2P4B2",4,25.48
2020-01-04,"Z2E2L2",2,27.38
2020-01-04,"G5O5P5",2,29.6
2020-01-04,"L2W1F2",3,30.33
2020-01-04,"Z0B0S0",2,7.5
2020-01-04,"Y1W9K1",3,45.42
2020-01-04,"I2T1K2",1,15.25
2020-01-04,"D9D0Y9",3,27.9
2020-01-04,"R5W5P5",2,23.98
2020-01-04,"Z7Q9K7",3,38.79
2020-01-04,"U3G3G3",1,8.8
2020-01-04,"Q1K9X1",4,42.24
2020-01-04,"E4T1F4",4,34.48
2020-01-04,"V8T6P8",1,8.43
2020-01-04,"O0G0X0",3,52.92
2020-01-04,"A9S8L9",2,22.12
2020-01-04,"R2V8Q2",1,11.49
2020-01-04,"R2V8Q2",3,34.47
2020-01-04,"D4L4R4",4,22.36
2020-01-04,"D4L4R4",4,22.36
2020-01-04,"N2J9B2",3,34.71
2020-01-04,"Y0S8P0",2,14.86
2020-01-04,"T7W4E7",4,36.72
2020-01-04,"O6N7R6",1,15.97
2020-01-04,"J1W2P1",3,22.95
2020-01-04,"I7P0G7",4,48.2
2020-01-04,"T3V8C3",2,11.58
2020-01-04,"P6J5N6",2,13.68
2020-01-04,"N0F3T0",3,15.24
2020-01-04,"N0F3T0",3,15.24
2020-01-04,"C8B6Q8",1,5.61
2020-01-04,"X1X8O1",2,13.6
2020-01-04,"S6U0Z6",3,51.93
2020-01-04,"F6Q4W6",4,35.2
2020-01-04,"L2W2B2",1,10.1
2020-01-04,"Y7C1P7",3,43.56
2020-01-04,"Y7C1P7",1,14.52
2020-01-04,"U9L7B9",2,38.46
2020-01-04,"W6T2W6",1,11.76
2020-01-04,"P2U4I2",1,5.33
2020-01-04,"T5G8Y5",2,12.12
2020-01-04,"I1X8R1",4,26.4
2020-01-04,"D8E6D8",2,29.88
2020-01-04,"R6W1A6",3,26.07
2020-01-04,"G1F2P1",3,12.36
2020-01-04,"Z1U7A1",1,8.28
2020-01-04,"B6P3T6",2,20.56
2020-01-04,"A2J9O2",3,16.65
2020-01-04,"T4G5N4",3,31.59
2020-01-04,"F7R9H7",3,23.7
2020-01-04,"B6Q8H6",1,15.66
2020-01-04,"R7C5X7",1,10.72
2020-01-04,"C5G1A5",2,15.78
2020-01-04,"M4F6H4",3,25.23
2020-01-04,"I4V4W4",3,41.4
2020-01-04,"G7I0V7",1,12.78
2020-01-04,"Y9O0U9",3,32.82
2020-01-04,"N7O0E7",2,26.48
2020-01-04,"I5H3L5",1,13.43
2020-01-04,"A1R7S1",4,51.36
2020-01-04,"N0V8E0",4,33.48
2020-01-04,"S5B2Z5",2,25.12
2020-01-04,"G6H8W6",3,39.6
2020-01-04,"G6H8W6",1,13.2
2020-01-04,"F5Z4R5",3,36.3
2020-01-04,"W5F5V5",3,18.12
2020-01-04,"R0V1L0",2,23.16
2020-01-04,"N0N2P0",2,5
2020-01-04,"B7S1Z7",1,12.94
2020-01-04,"C8B9S8",1,18.51
2020-01-04,"C8Y0V8",2,14.42
2020-01-04,"R0E9X0",3,33.9
2020-01-04,"L2X9R2",4,33.12
2020-01-04,"H4I3T4",1,5.32
2020-01-04,"C7Y7J7",4,68.4
2020-01-04,"D0D9Y0",2,22.36
2020-01-04,"Y1S2O1",3,13.05
2020-01-04,"Z1C3E1",1,16.37
2020-01-04,"X3X8B3",1,14.22
2020-01-04,"I4G1A4",1,12.93
2020-01-04,"Q4B7Y4",1,12.05
2020-01-04,"L7I2H7",3,35.4
2020-01-04,"D5K4N5",3,30.39
2020-01-04,"D5K4N5",3,30.39
2020-01-04,"B2W2Q2",3,15.12
2020-01-04,"Z2A4Z2",2,18.7
2020-01-04,"G9Y3Z9",3,14.4
2020-01-04,"L4H8J4",2,16.42
2020-01-04,"Z5G5L5",1,4.49
2020-01-04,"F5H2M5",1,6.7
2020-01-04,"M3V2A3",3,7.86
2020-01-04,"W4I1L4",1,4.53
2020-01-04,"R2E8A2",2,20.64
2020-01-04,"J2W3E2",3,22.17
2020-01-04,"H6U6X6",2,20.14
2020-01-04,"R6V2H6",1,9.68
2020-01-04,"E1K0Z1",2,27.74
2020-01-04,"N1W6X1",1,10.91
2020-01-04,"F8E1V8",3,51.24
2020-01-05,"U3Q2H3",4,55.24
2020-01-05,"F9F9V9",4,41.48
2020-01-05,"Q2H2B2",3,41.19
2020-01-05,"U8Z0I8",3,13.47
2020-01-05,"R6P7V6",4,68.24
2020-01-05,"W6J4U6",3,47.13
2020-01-05,"C5P7C5",3,32.73
2020-01-05,"S7J4Y7",1,9.07
2020-01-05,"M8E0S8",4,25.96
2020-01-05,"W7I4B7",4,53
2020-01-05,"P2X7Q2",3,39.06
2020-01-05,"C9M9U9",2,25.48
2020-01-05,"Z2H7J2",1,10.82
2020-01-05,"Z3P8C3",4,19.16
2020-01-05,"Z0B0S0",2,7.5
2020-01-05,"D4F2V4",4,47.8
2020-01-05,"C6U2E6",4,36.08
2020-01-05,"I2T1K2",1,15.25
2020-01-05,"H4L0T4",1,9.46
2020-01-05,"V6J1U6",4,27.64
2020-01-05,"R2B8A2",3,43.23
2020-01-05,"Y6V6H6",3,22.77
2020-01-05,"Y8D0L8",1,12.6
2020-01-05,"X5X3I5",1,14.3
2020-01-05,"O4M4J4",2,25.84
2020-01-05,"P8J8N8",3,35.46
2020-01-05,"L5H4V5",2,14.74
2020-01-05,"L5H4V5",3,22.11
2020-01-05,"X6V5F6",3,47.37
2020-01-05,"Q8K9R8",4,25.16
2020-01-05,"Q3B2F3",2,14.42
2020-01-05,"L4C8J4",4,44.16
2020-01-05,"I1Q5M1",1,9.58
2020-01-05,"T3A0S3",3,31.89
2020-01-05,"Y4C4D4",2,16.08
2020-01-05,"L7O2D7",3,33.42
2020-01-05,"V5M8U5",1,11.36
2020-01-05,"N0A7F0",1,17.52
2020-01-05,"L4S3D4",3,24.09
2020-01-05,"U2T8P2",1,8.89
2020-01-05,"U4O6M4",1,9.35
2020-01-05,"T1X9B1",3,30.48
2020-01-05,"J0R6P0",2,12.28
2020-01-05,"E5X3S5",1,9.03
2020-01-05,"C7E2R7",1,11.01
2020-01-05,"Q0F3N0",4,37.48
2020-01-05,"Q0F3N0",4,37.48
2020-01-05,"L6H7Y6",1,15.2
2020-01-05,"Y1M7V1",2,22.04
2020-01-05,"I1S9Y1",1,8.06
2020-01-05,"R4J0N4",4,26.2
2020-01-05,"Z0M4D0",3,10.89
2020-01-05,"H6G1Y6",4,81.08
2020-01-05,"N5X9J5",3,29.25
2020-01-05,"U9Z4K9",3,21.48
2020-01-05,"D5O1H5",2,24.08
2020-01-05,"L2X9R2",3,24.84
2020-01-05,"K2L1L2",2,35.7
2020-01-05,"O2S7Y2",3,20.28
2020-01-05,"Z5L8H5",2,18.68
2020-01-05,"D9E7G9",4,37.36
2020-01-05,"I1U8W1",3,16.44
2020-01-05,"Z1F7S1",1,7.27
2020-01-05,"P7I7W7",3,37.29
2020-01-05,"H4R1Q4",2,14.48
2020-01-05,"H3S0K3",2,32.52
2020-01-05,"M7S8O7",2,13.2
2020-01-05,"I2Z7T2",3,40.47
2020-01-05,"Q4M3K4",2,10.1
2020-01-05,"K7Z0Q7",4,38.72
2020-01-05,"B5B2N5",3,23.19
2020-01-05,"L8B3M8",2,11.34
2020-01-05,"S9H2E9",4,51.72
2020-01-05,"X9E8D9",3,57.63
2020-01-05,"Z3V0C3",2,34.72
2020-01-06,"U3Q2H3",3,41.43
2020-01-06,"Q2H2B2",3,41.19
2020-01-06,"L4P4L4",3,37.68
2020-01-06,"Q7X4A7",2,12.74
2020-01-06,"Z4M2Y4",2,7.64
2020-01-06,"W3T0M3",1,14.47
2020-01-06,"B1A1L1",1,6.73
2020-01-06,"L8J7Z8",3,35.52
2020-01-06,"H0P6F0",4,40.48
2020-01-06,"S9L6Y9",4,39
2020-01-06,"M2V2G2",1,7.81
2020-01-06,"G5O5P5",4,59.2
2020-01-06,"A8H2E8",2,18.86
2020-01-06,"H4L0T4",4,37.84
2020-01-06,"C6T3M6",2,76.32
2020-01-06,"C6Z3D6",4,57.08
2020-01-06,"D9W2W9",4,39.96
2020-01-06,"H8Z8K8",2,24.86
2020-01-06,"V6Y7Q6",1,11
2020-01-06,"Q4A6F4",2,21.32
2020-01-06,"Z5E3K5",1,9.64
2020-01-06,"F0U6G0",1,11.5
2020-01-06,"F0U6G0",1,11.5
2020-01-06,"K9W5U9",3,43.83
2020-01-06,"Q8K9R8",1,6.29
2020-01-06,"Q4T2V4",2,22.22
2020-01-06,"C5X1V5",1,15.64
2020-01-06,"Z9R4A9",2,12.08
2020-01-06,"Z3G9H3",3,23.04
2020-01-06,"A4W3C4",4,42.72
2020-01-06,"Y1Y4X1",3,32.01
2020-01-06,"P6I6Q6",3,26.01
2020-01-06,"U6O2A6",2,32.42
2020-01-06,"J2L3G2",3,9.75
2020-01-06,"Y8B3C8",2,11.34
2020-01-06,"R5P3F5",2,21.44
2020-01-06,"N3C9P3",2,25
2020-01-06,"Q0F3N0",4,37.48
2020-01-06,"M4F6H4",4,33.64
2020-01-06,"F0T3X0",4,23.92
2020-01-06,"G7I0V7",4,51.12
2020-01-06,"U7Q2F7",3,8.97
2020-01-06,"R4J0N4",3,19.65
2020-01-06,"Q6N3M6",4,32.64
2020-01-06,"K7A9V7",2,21.1
2020-01-06,"F9I8B9",3,12.84
2020-01-06,"E3U7Y3",3,35.67
2020-01-06,"F4Q0Y4",4,43.88
2020-01-06,"Z5G5L5",3,13.47
2020-01-06,"V6H2W6",1,9.02
2020-01-06,"O8I3I8",3,42.36
2020-01-06,"M1E2U1",3,33.63
2020-01-06,"U7M2U7",4,25.8
2020-01-06,"A0F2I0",2,27.02
2020-01-06,"I0O7U0",3,49.8
2020-01-06,"F3O7R3",4,47.04
2020-01-06,"U2G1Z2",2,42.88
2020-01-06,"R6K0P6",1,10.72
2020-01-06,"S2P2Y2",4,79.28
2020-01-07,"M0B6P0",4,17.92
2020-01-07,"R8A2M8",2,31.1
2020-01-07,"Y3V6M3",4,25.08
2020-01-07,"Q2F9I2",1,4.44
2020-01-07,"M6Q1V6",4,66.28
2020-01-07,"U8Z0I8",3,13.47
2020-01-07,"I0X6A0",4,61.76
2020-01-07,"L8J7Z8",1,11.84
2020-01-07,"O7D2I7",1,10.04
2020-01-07,"P1D0A1",2,48.54
2020-01-07,"N2F5Q2",4,51.96
2020-01-07,"Y3W3V3",3,19.38
2020-01-07,"S9L6Y9",3,29.25
2020-01-07,"H0T9E0",2,21.48
2020-01-07,"H0T9E0",4,42.96
2020-01-07,"J7N7P7",3,30.66
2020-01-07,"R4Y2H4",3,17.28
2020-01-07,"U8S1P8",1,10.59
2020-01-07,"D4F2V4",4,47.8
2020-01-07,"E1Z4Z1",4,33.84
2020-01-07,"C6Z3D6",2,28.54
2020-01-07,"J7Q6H7",3,47.25
2020-01-07,"Z0U1D0",4,37.2
2020-01-07,"A0L6R0",4,39.16
2020-01-07,"X0Y3V0",1,11.55
2020-01-07,"O6N7R6",2,31.94
2020-01-07,"O3Y3T3",2,39.2
2020-01-07,"K3U7W3",2,11.1
2020-01-07,"L4C8J4",2,22.08
2020-01-07,"I1Q5M1",1,9.58
2020-01-07,"R6W1A6",3,26.07
2020-01-07,"S7A1F7",2,22.06
2020-01-07,"K6N6H6",3,30.33
2020-01-07,"P5T3K5",3,43.02
2020-01-07,"E7V5J7",4,42.32
2020-01-07,"H1Y4L1",3,55.68
2020-01-07,"N4V2Q4",4,18.6
2020-01-07,"O1F3Z1",3,44.46
2020-01-07,"B6Q8H6",2,31.32
2020-01-07,"M4F6H4",3,25.23
2020-01-07,"G7I0V7",1,12.78
2020-01-07,"M1P1F1",2,13.74
2020-01-07,"P3R3R3",3,27.39
2020-01-07,"A1R7S1",3,38.52
2020-01-07,"U8T8T8",3,39.12
2020-01-07,"N5X9J5",1,9.75
2020-01-07,"O8C6E8",2,6.22
2020-01-07,"K2L1L2",1,17.85
2020-01-07,"Q4B7Y4",3,36.15
2020-01-07,"S8F6U8",3,21.3
2020-01-07,"U8S9G8",3,29.91
2020-01-07,"V3O2W3",1,13.91
2020-01-07,"R1O4L1",2,15.96
2020-01-07,"N6R9Y6",1,10.53
2020-01-07,"U5E7R5",4,26.2
2020-01-07,"P0S4G0",3,45.03
2020-01-07,"S7B0C7",4,47.76
2020-01-07,"A0F2I0",2,27.02
2020-01-07,"L6N4C6",1,18.69
2020-01-07,"Y2N1G2",3,26.28
2020-01-07,"E9Z6H9",2,13.2
2020-01-07,"S4K8M4",2,31.5
2020-01-07,"S4K8M4",4,63
2020-01-07,"L9A0L9",4,15
2020-01-07,"V8H1L8",4,67.2
2020-01-08,"L0N9X0",4,22.44
2020-01-08,"E8T6C8",4,31.28
2020-01-08,"S7E6J7",2,13.44
2020-01-08,"R0O1V0",4,41.2
2020-01-08,"U6W9S6",2,10.78
2020-01-08,"O6P6J6",1,8.56
2020-01-08,"X6E9F6",3,21.45
2020-01-08,"G2J0O2",4,42.76
2020-01-08,"Y4Q3T4",4,45.04
2020-01-08,"S3P1G3",4,37
2020-01-08,"E2X0K2",1,6.61
2020-01-08,"Y3W5U3",1,6.77
2020-01-08,"P3J1U3",4,40.8
2020-01-08,"K4O1Q4",2,12.92
2020-01-08,"P3S4Y3",2,16.4
2020-01-08,"A7K6D7",1,9.97
2020-01-08,"C6Z3D6",1,14.27
2020-01-08,"Z0U1D0",2,18.6
2020-01-08,"N6E9T6",3,27
2020-01-08,"B1K2G1",2,21.64
2020-01-08,"X8B4I8",2,12.76
2020-01-08,"X0Y3V0",2,23.1
2020-01-08,"H4O9G4",1,6.44
2020-01-08,"S4N8N4",1,10.25
2020-01-08,"I9I5Q9",4,36.68
2020-01-08,"Z5E3K5",4,38.56
2020-01-08,"U6E1E6",3,41.79
2020-01-08,"Q8K9R8",2,12.58
2020-01-08,"J8E7O8",4,59.08
2020-01-08,"Q2R6D2",1,5.99
2020-01-08,"K7D1V7",2,16.12
2020-01-08,"O6E7Q6",1,6.28
2020-01-08,"M0L0Q0",4,44.36
2020-01-08,"V5T0N5",1,9.98
2020-01-08,"I8E5Y8",4,43.36
2020-01-08,"Q6H9E6",3,25.2
2020-01-08,"W2C1D2",1,8.55
2020-01-08,"Y9G8Y9",1,16.42
2020-01-08,"J1F0M1",2,17.66
2020-01-08,"R2P5L2",3,69.12
2020-01-08,"U9Z4K9",1,7.16
2020-01-08,"T9T1N9",2,18.86
2020-01-08,"S2U1Z2",1,8.64
2020-01-08,"W8J7U8",1,5.62
2020-01-08,"M3Z5C3",1,6.81
2020-01-08,"V9W7Q9",1,13.48
2020-01-08,"I1U8W1",4,21.92
2020-01-08,"Z5G5L5",3,13.47
2020-01-08,"T6Y3R6",1,8.49
2020-01-08,"X4P2D4",3,50.79
2020-01-08,"H3Z7J3",1,11.66
2020-01-08,"N6F6O6",3,37.05
2020-01-08,"K6W4H6",2,20.94
2020-01-08,"K8J8H8",4,47.56
2020-01-08,"I0O7U0",3,49.8
2020-01-08,"F3O7R3",4,47.04
2020-01-08,"N2D2H2",4,39.28
2020-01-08,"L8B3M8",4,22.68
2020-01-09,"E6E9Q6",4,57.12
2020-01-09,"A9X6C9",2,24.16
2020-01-09,"P9G5H9",1,11.23
2020-01-09,"I0X6A0",3,46.32
2020-01-09,"K5Z3R5",2,16.06
2020-01-09,"H6N3G6",1,16.48
2020-01-09,"E4H5Q4",4,40.2
2020-01-09,"Y3W3V3",1,6.46
2020-01-09,"L1U4N1",2,29.26
2020-01-09,"X7N2E7",1,4.06
2020-01-09,"Z6B4S6",4,36.44
2020-01-09,"D9W2W9",1,9.99
2020-01-09,"H7D9H7",4,35.88
2020-01-09,"C3Y5X3",2,25.98
2020-01-09,"Y8I0E8",3,30.24
2020-01-09,"M6M3D6",3,42.39
2020-01-09,"H4O9G4",3,19.32
2020-01-09,"I2J1C2",2,24.82
2020-01-09,"O3Y3T3",4,78.4
2020-01-09,"U2F9J2",3,29.1
2020-01-09,"X6V5F6",2,31.58
2020-01-09,"Y8E9G8",1,13.26
2020-01-09,"Q3B2F3",2,14.42
2020-01-09,"E4U1U4",1,11.97
2020-01-09,"Y0L6E0",4,43.36
2020-01-09,"L2W2B2",2,20.2
2020-01-09,"U9L7B9",1,19.23
2020-01-09,"R1Q8X1",1,10.5
2020-01-09,"I1X8R1",4,26.4
2020-01-09,"Y4C4D4",2,16.08
2020-01-09,"U6T7L6",2,29.76
2020-01-09,"I2V6O2",1,14.53
2020-01-09,"B6P3T6",1,10.28
2020-01-09,"Z8G3L8",1,12.95
2020-01-09,"E4F6I4",3,39.75
2020-01-09,"Z4V7Y4",1,11.79
2020-01-09,"V0O9T0",4,10.96
2020-01-09,"P4H0C4",1,7.1
2020-01-09,"J6X4U6",4,14.92
2020-01-09,"N3C9P3",1,12.5
2020-01-09,"M5D9E5",2,23.82
2020-01-09,"E7R0B7",2,16.36
2020-01-09,"D9Z3P9",1,15.6
2020-01-09,"F0T3X0",4,23.92
2020-01-09,"G6K2B6",3,46.05
2020-01-09,"I1S9Y1",4,32.24
2020-01-09,"F5Z4R5",4,48.4
2020-01-09,"D0M7B0",4,14.4
2020-01-09,"J7W7G7",2,15.84
2020-01-09,"B6P4T6",4,29.6
2020-01-09,"X0Q0G0",3,11.25
2020-01-09,"B8A2K8",4,44.32
2020-01-09,"K2L1L2",1,17.85
2020-01-09,"D0D9Y0",4,44.72
2020-01-09,"F6A4L6",3,41.79
2020-01-09,"J5J7Q5",4,27.48
2020-01-09,"G3G6P3",2,13.8
2020-01-09,"J8D4L8",4,40.04
2020-01-09,"B2E8L2",1,12.02
2020-01-09,"S8F6U8",1,7.1
2020-01-09,"V9W7Q9",4,53.92
2020-01-09,"E5W2D5",3,29.73
2020-01-09,"D9E7G9",4,37.36
2020-01-09,"X6A9M6",2,20.3
2020-01-09,"Y6N7H6",3,30.36
2020-01-09,"E1A9A1",1,9.83
2020-01-09,"G1O5H1",2,22.5
2020-01-09,"C3V6J3",3,18.9
2020-01-09,"O7X1I7",1,3.35
2020-01-09,"S2G3G2",3,39.21
2020-01-09,"R0I7D0",2,22.26
2020-01-10,"U1U3E1",2,8.8
2020-01-10,"G4I7W4",1,2.8
2020-01-10,"G6M3H6",3,25.35
2020-01-10,"L4R5X4",4,25.8
2020-01-10,"P6S2O6",1,11.15
2020-01-10,"F5K5I5",4,25.48
2020-01-10,"B1A1L1",4,26.92
2020-01-10,"G6J4Z6",3,8.49
2020-01-10,"I0X6A0",1,15.44
2020-01-10,"Q0Q2Y0",4,29.12
2020-01-10,"M9K0L9",3,28.14
2020-01-10,"E4H5Q4",3,30.15
2020-01-10,"V2O8K2",3,10.17
2020-01-10,"E0W9O0",4,56.6
2020-01-10,"R4Y2H4",4,23.04
2020-01-10,"A8B2J8",3,39.27
2020-01-10,"G0Y5Y0",4,49.32
2020-01-10,"D8G1F8",1,11.17
2020-01-10,"S5D0W5",3,50.61
2020-01-10,"S5D0W5",2,33.74
2020-01-10,"A5B5K5",1,7.83
2020-01-10,"T7F4K7",1,10.29
2020-01-10,"E4T1F4",4,34.48
2020-01-10,"K5N5Z5",3,36.84
